,loglikely,token
732,-1.1411793959109744,most
620,-1.1373400284481718,bullshit
549,-1.1178904954714142,hell
22,-1.1045413046294215,oh
140,-1.1024208820170447,had
71,-1.0933111587406898,deal
183,-1.090613155949443,did
384,-1.050929444849615,helping
500,-1.044674129752111,serious
392,-1.0337012027389036,s
154,-1.024610765779685,under
124,-1.011216576942557,islam
94,-1.009282604081065,men
275,-0.9780640304990582,found
438,-0.9508014423176334,girl
346,-0.915065601519153,hand
268,-0.8573043032961447,wouldn't
679,-0.8370031532998476,few
476,-0.8196886126237484,anti-feminism
502,-0.8196886126237484,however
115,-0.7089569620791591,hillary
46,-0.690814291331888,down
65,-0.6766949349773794,children
370,-0.5732245227062318,soon
429,-0.5705896979554872,anything
508,-0.5700005319503587,#meninist
114,-0.5620441159577707,yet
190,-0.5508370591401928,perfect
215,-0.5508370591401928,10
134,-0.5152080472309661,you've
537,-0.5034034525349833,film
260,-0.47963956986856227,high
13,-0.4741464313592232,western
52,-0.4314886736014145,haven't
717,-0.42655805514311496,bc
372,-0.4253484436946522,cool
278,-0.3985661892479575,tbh
482,-0.3854155740741909,make
789,-0.3641768906126712,haha
563,-0.3583905136524552,photo
751,-0.3561041045290301,@feministfailure
486,-0.3534622194084154,fuck
276,-0.3377475803619836,#feminismisawful
566,-0.3097501023205975,stuff
60,-0.29453470718260544,seriously
125,-0.288750341790474,focus
77,-0.288750341790474,came
704,-0.28424916114448706,here
750,-0.2763960045127192,stand
36,-0.2655000877033693,tweet
647,-0.26330546012514144,live
642,-0.26330546012514144,wait
306,-0.26240856586074424,facts
738,-0.22913978285094938,voice
551,-0.22125007308614109,based
574,-0.22125007308614109,fake
524,-0.2082850478899947,actions
545,-0.20251463430970595,one
775,-0.2005098998053798,=
485,-0.19859341960732468,better
495,-0.18545475395185207,bad
58,-0.17700005846891287,taken
770,-0.16605853564005812,up
143,-0.14726735359130272,definitely
451,-0.146521444124585,list
747,-0.14117029344475363,case
193,-0.13207297186617284,superior
407,-0.13207297186617284,worth
744,-0.11069060931930386,seems
697,-0.10103522139648602,started
79,-0.09456272642974906,enough
97,-0.09411352896318115,stay
599,-0.08590130407612317,less
507,-0.07568756259326603,wow
805,-0.06990634298383469,buy
522,-0.06288905042768866,together
667,-0.06267053465645267,yes
109,-0.05739494630311981,person
160,-0.05701128190454563,year
33,-0.05701128190454563,public
262,-0.05201740537258348,once
336,-0.05201740537258348,6
768,-0.05201740537258348,attention
316,-0.04480012155953661,things
564,-0.04255524733869165,leave
395,-0.04255524733869165,except
523,-0.04255524733869165,sexuality
431,-0.04071974733090111,week
43,-0.03817835736715325,wanting
132,-0.03817835736715325,behind
178,-0.03450708358003185,giving
654,-0.027850543049306564,name
245,-0.026361364577991875,attack
153,-0.022501626034438837,seem
383,-0.022162887919763286,#feministsareugly
706,-0.022162887919763286,tho
420,-0.022162887919763286,response
680,-0.016055401654766488,interesting
682,-0.016055401654766488,ones
322,-0.015906897730930014,men's
489,-0.007612810697853023,start
619,-0.005886038549023143,deserve
441,-0.0014773037163238745,4
8,-0.0012980747644948387,hatred
184,-0.000504780972586355,awesome
218,-0.00033860651645475914,long
611,-0.0002364215442492712,sexist
672,7.5210622684090955e-06,idea
735,0.0003777860749425155,consider
593,0.00044647445220480364,shows
118,0.0011677024134587044,care
678,0.004279830167775334,fun
758,0.004443463665448455,taking
18,0.004891494167152954,or
583,0.005130835030101366,especially
192,0.010428582702610378,females
267,0.01061209827588161,whole
661,0.011561400393348298,oppressed
381,0.013371959351796248,wrong
539,0.01412977158714035,tweets
270,0.014802253635309404,whatever
736,0.021849784742515865,next
31,0.026471706108192716,liberal
671,0.029324875817974716,course
449,0.03207340090790822,different
368,0.03320662416104381,super
175,0.03411835709819444,hey
467,0.03471952668580203,use
733,0.038043394381162,thinking
310,0.04189130889549508,am
212,0.04587248640253194,friend
450,0.05170165138162264,listen
139,0.05436594312608811,when
413,0.05538675489842948,music
95,0.06422260711640249,instead
74,0.06462706422702813,agenda
799,0.06823671419638888,issues
653,0.0682484842110489,st
637,0.07240747294879246,turn
543,0.07723205156706703,basically
728,0.07723205156706703,gives
285,0.07723205156706703,totally
511,0.07755247707243829,#women
818,0.08514512104734484,writing
445,0.10755814024906751,theory
319,0.11118630552662534,lol
579,0.11729950327189886,something
342,0.13269088669900597,i'm
205,0.1434108536654235,supporting
800,0.17411727120714726,over
137,0.18206996393789376,american
762,0.21511628049813503,hear
349,0.22465946992406316,this
148,0.22758745492236754,full
759,0.24305602920336922,anymore
701,0.26550901675153327,everyone
128,0.2742353948524485,victim
616,0.29490297825803147,least
67,0.3023484023385503,words
126,0.31862243689131464,hope
111,0.34640129225627625,young
142,0.34870625696937196,?
161,0.3519514720582757,yeah
89,0.380681746531053,r
601,0.3876828533140184,even
725,0.39021413654937565,victims
594,0.3974182646233526,there's
649,0.4118341016319236,religion
648,0.4150590636684086,wanna
788,0.4469866839505574,completely
356,0.4469866839505574,news
10,0.4538538198205293,b
327,0.5068523106417615,see
811,0.5389766379090757,pay
803,0.5389766379090757,problems
414,0.5392425589454772,looking
698,0.5436237923531628,cause
608,0.5456106048907658,porn
571,0.585291547092945,(
559,0.5873786849768923,fighting
641,0.6066179535400025,discussion
600,0.6187751703114852,ever
358,0.6385524056437051,sad
88,0.6774083363360184,here's
61,0.696283915180608,my
777,0.7168387328855106,thanks
3,0.742103218650163,reason
169,0.7618587012539981,used
567,0.7931801580787008,kind
437,0.8847186027650844,big
814,0.9533064537358946,between
288,0.9845505626077511,already
292,1.0393799475469887,self
809,1.0587748728010107,research
535,1.283182312043822,boys
171,1.3442486634305535,views
584,1.3728876721339667,which
433,1.385661704286127,please
724,1.4484040520548227,)
636,1.456269385383104,piece
504,1.522622890658564,difference
592,1.5573580904010047,follow
646,1.5573580904010047,realize
810,1.5875105640222351,speech
627,1.6191066535973455,know
613,1.6407855093190982,women's
663,1.7517545954733649,never
590,1.772776873149276,until
59,1.8378002168776337,power
347,1.8765594689356817,ladies
471,1.8773605036490206,hating
418,1.8787280135984865,thats
607,1.8844656753038809,comes
105,1.9741157072957343,makes
331,1.9864294419966022,best
198,2.0787598950939774,again
483,2.0928493094613465,article
266,2.102118930460339,honestly
479,2.111648410489508,shut
371,2.117084605512769,#equality
631,2.128393717098376,bitch
409,2.314897007463504,getting
401,2.337427183154503,blog
320,2.341285990200081,called
692,2.354796444624718,looks
513,2.3801576386270558,another
587,2.4437789479568863,else
676,2.4437789479568863,speak
279,2.4800825919371494,violence
586,2.5764766049085033,around
6,2.6499743000778047,two
17,2.8710565521007982,opinion
748,2.8872801547256515,making
708,3.0332581346380394,-
317,3.066853797999098,lot
793,3.1417132409233997,ignorant
227,3.273663629344579,thing
81,3.288495945252592,same
354,3.3946279060174263,every
784,3.4182994744296984,nothing
298,3.4219594300294602,either
569,3.4219594300294602,matter
515,3.5200960367446115,face
428,3.598725990142043,do
92,3.6202129210299283,read
307,3.6656684219353313,respect
76,3.6883996394132783,we're
350,3.8580064190198,amazing
786,4.229071664122133,etc
53,4.3128728650840955,funny
123,4.38461013180717,may
630,4.41096297366321,online
752,4.468989426540386,black
21,4.507268587466466,ok
335,4.554761895846131,world
419,4.674854366309006,#yesallwomen
568,4.7694279170386835,first
798,4.905562548412259,many
84,4.996274010778892,him
244,5.4170514079221945,understand
415,5.686851526786949,gay
492,5.805559945670387,friends
804,5.959773093950361,still
379,5.972179263140413,2015
765,6.1403291179198884,exactly
274,6.175751156983575,what's
453,6.175751156983575,ask
151,6.309986262908879,won't
477,6.3234674958334764,fight
16,6.50898493715335,class
726,6.519994269563295,such
351,6.638499043933798,|
737,6.819862325602486,5
603,6.8277767652289185,human
817,7.124731199836329,w
625,7.418941720079857,2
745,7.493668231709169,problem
673,7.583328371766555,sexes
241,7.583328371766555,sorry
47,7.730773841704689,happy
152,7.905104341676527,seen
494,7.920386384762658,n
83,8.619373401266646,done
195,8.794865524343798,before
156,8.823123940008749,gender
602,9.193169421476796,for
651,9.373754384083597,so
639,9.421557476867285,much
35,9.501044839816103,can't
329,10.335227180495817,patriarchy
721,10.515676215437423,media
753,10.95193869423381,someone
687,11.155519008711366,why
432,11.204646511040572,trans
42,11.666982499682355,yourself
781,11.858633710236177,check
206,12.126743927503895,and
610,12.418984457620535,body
423,12.552568598967817,school
101,12.811853672193017,way
135,13.058402136732703,actually
546,13.703646286649054,#heforshe
364,13.837937939573997,i've
774,13.995892523023404,issue
188,14.467524071324249,#feminist
196,14.474246956202066,needs
461,14.636948510797858,does
570,15.198791523527326,great
605,15.947509823172688,equal
63,16.126918456831206,/
82,16.361363122253675,dont
264,17.159416728270635,new
517,17.764475817882392,meninism
669,19.039343097121673,show
164,19.087115983524953,you're
822,19.384893628791943,work
785,19.39047036455979,definition
730,19.508531079729202,keep
427,20.397343261176108,doing
360,20.397468592279566,say
385,21.995279662993347,im
771,22.256714355347242,us
776,22.544319301041206,come
238,22.70436918155309,girls
557,23.18052979352857,mean
41,23.33143976312013,u2019s
400,24.05643464922916,movement
435,24.24088443176015,time
282,24.44624789268711,good
645,26.33908881606122,against
131,26.507611267986192,really
412,27.346994023175682,doesn't
525,27.45279519667868,very
446,27.599058116949177,u2026
14,28.057481235463086,rights
138,28.31445714400396,going
4,29.345309402940046,that
200,29.852147690278628,because
598,31.083894160338993,feel
75,32.94788551907945,being
40,36.45951389580797,talking
250,39.34488179865821,social
475,39.3895526000008,love
48,40.776454215934066,there
116,40.82777234922169,joke
473,40.92781115209916,+
454,41.622050123743904,no
25,41.834654939089916,tell
366,43.19115412060745,male
460,44.01843116818877,been
261,45.59365349909882,think
315,46.483980469856945,support
533,47.448542970947926,not
756,48.27310143552316,its
213,49.50728560476526,u
5,50.78456524051373,than
499,53.3039194442361,women
62,55.69263884637661,me
821,58.61608774687194,word
19,59.21069978090782,of
340,60.96087784008964,just
712,65.02950692620286,believe
239,67.76654735170506,isn't
289,71.60542254110001,have
214,72.55015775724083,female
796,93.03308734347468,people
373,97.40798988529917,our
147,101.1710207449358,has
352,115.07512947767827,to
136,117.38881183001038,&
541,117.56665788172154,""""
187,125.91555708700616,#feminism
632,146.26752712793063,don't
224,157.58275227380295,more
707,159.32488716433545,the
506,173.43790397654982,like
527,174.31364950404253,it's
386,218.973070580009,in
167,226.316510193613,what
463,226.35502585602762,you
199,228.16870971842187,we
24,237.7586403905657,'
767,270.1063020354728,your
576,357.3513090474443,about
367,414.04621986084925,need
219,581.1742988249692,!
388,631.5525014525874,is
465,1871.4735553622515,feminism
