,loglikely,token
734,-18.73481206832436,wave
267,-18.672499606432197,potty-mouthed
273,-18.457052536783024,sarkeesian
410,-18.015416827119545,says
452,-17.915361840378452,always
299,-17.76332335235425,racist
91,-17.683300140800977,crying
552,-17.394989800242914,l
678,-17.243033768533866,personal
737,-17.141816708870675,wasn't
815,-17.108414518203933,wife
169,-17.02451989151573,swear
474,-16.928674678330133,drop
692,-16.924368154017127,cute
761,-16.87728702653561,@themercedesxxx
764,-16.815459283947447,that's
677,-16.557793077031356,guys
451,-16.518224907022756,penis
527,-16.338437155628164,technology
773,-16.338437155628164,babies
663,-16.32432729360833,anita
18,-16.322103858918087,lives
128,-16.23092373910962,u0001f62d
308,-16.23092373910962,pass
789,-16.183335955942773,naked
810,-16.150662151423816,give
813,-16.130366691456455,involved
282,-16.022601209757823,\
506,-15.96389432404608,agree
467,-15.667631584917999,let's
543,-15.536956836838534,themselves
15,-15.187189464608707,it
618,-15.016458057299978,put
581,-14.737037745090504,at
255,-14.310085857331067,where
457,-14.188944304072363,pissed
478,-14.18317289694378,she's
563,-14.071196036631832,opinions
295,-14.071196036631832,often
524,-13.665671901664233,they're
359,-13.570693193251497,revolution
538,-13.499582711533499,part
38,-13.30848004982139,ngozi
615,-13.279883036456084,out
514,-13.2753705280694,mothers
86,-13.257232249105286,#gamergate
338,-13.216633921313917,space
345,-13.20643681429868,account
798,-13.157698417430591,worse
407,-13.124668014272007,legs
632,-13.044369819051113,change
177,-13.002858691985121,adichie
200,-13.002633065566812,feminist
572,-12.847813057610768,@huffpostwomen
622,-12.837343479422131,complex
438,-12.608521245372813,kill
253,-12.353317889958582,through
294,-12.299520427692308,didn't
149,-12.270577389383188,mras
656,-12.235496606631976,u201c
537,-12.14690081290248,dick
456,-12.001402776427515,misogynists
733,-11.942702196206259,group
331,-11.861328313530628,mgtow
516,-11.807196417521716,rd
530,-11.7166336981368,@thunderf00t
111,-11.63254542707497,reading
365,-11.476008968397384,third
166,-11.285783118886751,f-bombs
454,-11.27987591265293,2014
628,-11.21441294369081,nice
566,-11.059189148906562,also
290,-10.700623960296802,stop
355,-10.669018874057414,went
47,-10.611373156486525,early
507,-10.611373156486525,title
750,-10.574606012280928,boy
603,-10.499734411417606,held
61,-10.430260987266912,act
783,-10.331027106553023,each
350,-10.30339857162095,calls
71,-10.22899508136876,took
441,-10.19163524675503,chimamanda
696,-10.18901831944487,off
522,-10.18604939689925,chinese
564,-10.183556244292525,wrote
301,-10.139691088647963,tedxeuston
645,-9.975086681023315,haters
368,-9.974746989467434,were
178,-9.773230653987499,muslims
315,-9.74644327217079,false
515,-9.709723599042096,re
726,-9.53590932561491,everything
23,-9.531045078864585,admit
812,-9.471064176059471,angry
795,-9.37715038451561,attacked
146,-9.37715038451561,quit
787,-9.30627300047028,hard
73,-9.259121108562262,international
141,-9.259121108562262,@srhbutts
245,-9.249201834616407,without
796,-9.228526268391512,who's
724,-9.225346647053858,princesses
204,-9.223705443972214,raped
81,-9.213309758197274,hates
436,-9.18347993731362,stupid
389,-9.147290299796921,game
134,-9.0630077078936,argument
643,-9.022116712879818,disagree
234,-8.78695197685709,almost
283,-8.78695197685709,blame
239,-8.748194784951517,defend
593,-8.748194784951517,t
269,-8.738586933564903,hit
729,-8.728613856973,herself
391,-8.678608565721813,bitches
766,-8.67109990174123,insane
743,-8.552773835175671,who
609,-8.336331288470817,liberals
599,-8.336331288470817,shave
318,-8.320464094371786,life
70,-8.26892682460183,anyway
335,-8.26892682460183,yo
633,-8.172460069037907,abuse
77,-8.160347204347666,thinks
777,-8.096236427419452,wanted
268,-8.017506534477949,days
667,-7.790985234600473,fellow
181,-7.760394853041991,walk
104,-7.730930420844221,lmao
309,-7.615202912097127,baby
561,-7.518623742384346,last
775,-7.493168430171231,woman
113,-7.3098324541280935,y
187,-7.122954240769616,little
83,-6.953507324844601,#
247,-6.884853116383255,jokes
567,-6.884853116383255,created
707,-6.883248638502948,sense
672,-6.811871456499393,play
185,-6.766139622611895,absolutely
694,-6.756758641208382,working
610,-6.698300803457926,true
803,-6.673981358799992,supports
421,-6.494633607469105,fat
3,-6.464411303635799,takes
130,-6.331218352419217,gets
289,-6.312684721325063,yall
413,-6.312684721325063,sjws
80,-6.306228078187315,link
583,-6.306228078187315,sjw
297,-6.288339692270657,end
549,-6.234028274523261,ugly
101,-6.234028274523261,god
755,-6.094706951403033,vote
681,-5.980035222904666,bodies
688,-5.974734916024058,though
100,-5.933450233527488,%
210,-5.866462419411306,on
814,-5.847865963302487,gamergate
62,-5.847865963302487,three
780,-5.816272713537485,cuz
266,-5.768974597931379,shirt
792,-5.497289472043235,dear
230,-5.434445990671698,rant
720,-5.417298608914059,campus
464,-5.360543799693945,fit
626,-5.360543799693945,poor
487,-5.343613523850026,date
418,-5.3390700808776685,today
463,-5.275426654889845,find
150,-5.275221614027917,okay
601,-5.26372736755842,myself
241,-5.222543861639327,ban
370,-5.2040050175044,ass
746,-5.19426364869107,only
296,-5.192585305361408,actual
377,-5.111248428525803,v
398,-5.067568980906286,goes
695,-5.012691964824002,possible
87,-4.931751322499085,maybe
638,-4.931180393293271,bill
312,-4.901098804731204,damn
206,-4.901098804731204,powerful
736,-4.8909362462668895,fucking
802,-4.872866281231394,playlist
67,-4.8469013624599775,money
565,-4.811717170674752,shame
54,-4.777383700695427,culture
170,-4.74775840093182,claims
644,-4.74775840093182,piss
700,-4.688124258346683,bunch
51,-4.5315038539468,hilarious
781,-4.529968912629414,cut
373,-4.529968912629414,parody
44,-4.444414572774601,wants
568,-4.277641205432463,let
1,-4.2713565348118046,i'll
584,-4.188317811901749,story
774,-4.154964260492724,shades
531,-4.154964260492724,laws
168,-4.1546268148849865,meninists
348,-4.132822401590184,mad
28,-4.087517984783869,shouldn't
292,-4.08021043758637,sometimes
231,-3.991270230813086,*
576,-3.9588067281833066,bit
311,-3.8044182531026838,statement
708,-3.8044182531026838,gotta
562,-3.773977707846692,#questionsformen
220,-3.766418286714263,old
466,-3.7141409126940452,idiots
324,-3.638148766350863,<
240,-3.6229639937811307,attacking
37,-3.6229639937811307,#page3
682,-3.602739247456043,should
117,-3.5958353497955216,claim
607,-3.5654451506486424,wonder
739,-3.527713490943313,equality
629,-3.484915466944834,gg
811,-3.479862798518031,modern
637,-3.466600470459584,wage
29,-3.400175364655304,gonna
404,-3.3963394398149696,internet
730,-3.3544955392191493,dude
801,-3.285814522364957,he's
310,-3.246773853814748,campaign
46,-3.236174468691413,page
174,-3.2307197774157874,win
78,-3.2300868218151386,games
479,-3.2109749152141056,day
744,-3.1802608015225644,saw
194,-3.1705424348284783,turns
636,-3.1705424348284783,step
820,-3.1527883345488767,anti-feminist
587,-3.150518436054675,u201d
202,-3.12483070119044,following
224,-3.1155112741719684,could
235,-3.069564488679225,question
476,-3.067013263664972,trying
604,-3.0623599454432604,probably
705,-3.006061307158406,extreme
274,-2.998139065234625,after
548,-2.966725116763744,[
203,-2.954823159261119,activists
328,-2.9372416619389696,example
394,-2.9372416619389696,law
252,-2.886519677769007,@mt8_9
480,-2.8848316655118307,y'all
116,-2.8358278483166366,back
512,-2.7964665203636603,truth
434,-2.7922118746011826,identify
459,-2.7922118746011826,complain
314,-2.785605684520535,misogynist
179,-2.7381201325800273,using
69,-2.7285017677148957,males
281,-2.7214530893636955,others
447,-2.7201402917242454,wish
768,-2.685049810374384,point
497,-2.657798685255619,five
75,-2.6505169259300914,but
805,-2.6179696694545385,into
518,-2.617698632438593,straight
513,-2.5887808516258453,gave
172,-2.5193376012499336,while
521,-2.4985021729349093,dumb
721,-2.483756858057946,couldn't
409,-2.4146062933503014,abortion
157,-2.4146062933503014,run
776,-2.407360996015818,free
433,-2.407360996015818,literally
378,-2.4002420434537086,anti
591,-2.395398544279338,]
690,-2.3836546491147477,muslim
752,-2.381555888683341,said
94,-2.3805932707190216,freedom
653,-2.362031460324019,an
529,-2.3220432235102315,any
722,-2.3097949020463258,awful
375,-2.3097949020463258,simple
625,-2.3097949020463258,character
205,-2.299363405859925,@chsommers
674,-2.2686721481134615,hot
458,-2.2662996278755063,try
558,-2.2490397594743676,radical
715,-2.221487857061687,wear
422,-2.166717077718399,far
817,-2.0855285890735047,own
640,-2.0659248768065055,watch
711,-2.049199829703399,asking
278,-2.046376325786172,gap
196,-2.019650775852792,#womenagainstfeminism
498,-2.002282103280333,call
504,-1.9631088501631435,debate
293,-1.8924159308353072,written
155,-1.8924159308353072,offended
754,-1.8871550133348869,too
412,-1.8764173747523296,added
430,-1.8764173747523296,correct
156,-1.8764173747523296,lady
612,-1.830131203038306,since
43,-1.786307282516482,calling
602,-1.7457015772902587,help
199,-1.7238501862519744,anyone
320,-1.7185132121134101,#likeagirl
650,-1.7053136048218098,worst
56,-1.7039144321304507,message
415,-1.6981697199074848,ignore
321,-1.6925066265710473,become
550,-1.606179968315299,home
807,-1.567567913336016,remember
488,-1.5461677470717348,society
732,-1.531764670541052,light
747,-1.531764670541052,misogynistic
716,-1.5280479217065528,weak
461,-1.5280479217065528,within
392,-1.5280479217065528,due
717,-1.3896834727897236,choose
171,-1.3642508838574479,treat
403,-1.3642508838574479,wtf
809,-1.3642508838574479,argue
547,-1.3483461435860669,sick
669,-1.3088931544457836,well
701,-1.2970262528507952,told
509,-1.2807073471480344,heard
154,-1.2492510864674546,allowed
22,-1.2262989282188386,sexual
36,-1.2225512418707076,must
402,-1.2109906768647498,post
167,-1.1807370581438104,i'd
475,-1.150636462937106,@femfreq
419,-1.144086445902352,control
534,-1.1411793959109744,most
256,-1.1373400284481718,bullshit
605,-1.1178904954714142,hell
382,-1.1045413046294215,oh
535,-1.1024208820170447,had
793,-1.0933111587406898,deal
435,-1.090613155949443,did
495,-1.050929444849615,helping
621,-1.044674129752111,serious
449,-1.0337012027389036,s
797,-1.024610765779685,under
39,-1.011216576942557,islam
374,-1.009282604081065,men
808,-0.9780640304990582,found
658,-0.9508014423176334,girl
666,-0.915065601519153,hand
2,-0.8573043032961447,wouldn't
448,-0.8370031532998476,few
263,-0.8196886126237484,however
500,-0.8196886126237484,anti-feminism
460,-0.7089569620791591,hillary
471,-0.690814291331888,down
553,-0.6766949349773794,children
49,-0.5732245227062318,soon
462,-0.5705896979554872,anything
741,-0.5700005319503587,#meninist
570,-0.5620441159577707,yet
501,-0.5508370591401928,10
0,-0.5508370591401928,perfect
511,-0.5152080472309661,you've
88,-0.5034034525349833,film
770,-0.47963956986856227,high
366,-0.4741464313592232,western
517,-0.4314886736014145,haven't
221,-0.42655805514311496,bc
207,-0.4253484436946522,cool
555,-0.3985661892479575,tbh
152,-0.3854155740741909,make
213,-0.3641768906126712,haha
395,-0.3583905136524552,photo
173,-0.3561041045290301,@feministfailure
45,-0.3534622194084154,fuck
816,-0.3377475803619836,#feminismisawful
779,-0.3097501023205975,stuff
646,-0.29453470718260544,seriously
719,-0.288750341790474,came
541,-0.288750341790474,focus
401,-0.28424916114448706,here
735,-0.2763960045127192,stand
617,-0.2655000877033693,tweet
225,-0.26330546012514144,wait
248,-0.26330546012514144,live
559,-0.26240856586074424,facts
388,-0.22913978285094938,voice
664,-0.22125007308614109,fake
330,-0.22125007308614109,based
340,-0.2082850478899947,actions
657,-0.20251463430970595,one
16,-0.2005098998053798,=
520,-0.19859341960732468,better
242,-0.18545475395185207,bad
686,-0.17700005846891287,taken
191,-0.16605853564005812,up
684,-0.14726735359130272,definitely
74,-0.146521444124585,list
307,-0.14117029344475363,case
50,-0.13207297186617284,worth
329,-0.13207297186617284,superior
353,-0.11069060931930386,seems
327,-0.10103522139648602,started
305,-0.09456272642974906,enough
818,-0.09411352896318115,stay
481,-0.08590130407612317,less
551,-0.07568756259326603,wow
76,-0.06990634298383469,buy
806,-0.06288905042768866,together
571,-0.06267053465645267,yes
244,-0.05739494630311981,person
218,-0.05701128190454563,year
215,-0.05701128190454563,public
151,-0.05201740537258348,once
704,-0.05201740537258348,6
10,-0.05201740537258348,attention
360,-0.04480012155953661,things
714,-0.04255524733869165,sexuality
437,-0.04255524733869165,except
574,-0.04255524733869165,leave
697,-0.04071974733090111,week
731,-0.03817835736715325,wanting
585,-0.03817835736715325,behind
598,-0.03450708358003185,giving
623,-0.027850543049306564,name
363,-0.026361364577991875,attack
4,-0.022501626034438837,seem
103,-0.022162887919763286,response
693,-0.022162887919763286,tho
442,-0.022162887919763286,#feministsareugly
822,-0.016055401654766488,ones
525,-0.016055401654766488,interesting
723,-0.015906897730930014,men's
533,-0.007612810697853023,start
648,-0.005886038549023143,deserve
92,-0.0014773037163238745,4
804,-0.0012980747644948387,hatred
93,-0.000504780972586355,awesome
613,-0.00033860651645475914,long
590,-0.0002364215442492712,sexist
243,7.5210622684090955e-06,idea
557,0.0003777860749425155,consider
429,0.00044647445220480364,shows
123,0.0011677024134587044,care
544,0.004279830167775334,fun
718,0.004443463665448455,taking
208,0.004891494167152954,or
72,0.005130835030101366,especially
620,0.010428582702610378,females
453,0.01061209827588161,whole
540,0.011561400393348298,oppressed
6,0.013371959351796248,wrong
639,0.01412977158714035,tweets
383,0.014802253635309404,whatever
556,0.021849784742515865,next
98,0.026471706108192716,liberal
751,0.029324875817974716,course
665,0.03207340090790822,different
354,0.03320662416104381,super
287,0.03411835709819444,hey
468,0.03471952668580203,use
280,0.038043394381162,thinking
654,0.04189130889549508,am
519,0.04587248640253194,friend
58,0.05170165138162264,listen
114,0.05436594312608811,when
140,0.05538675489842948,music
631,0.06422260711640249,instead
546,0.06462706422702813,agenda
326,0.06823671419638888,issues
97,0.0682484842110489,st
137,0.07240747294879246,turn
9,0.07723205156706703,gives
48,0.07723205156706703,totally
660,0.07723205156706703,basically
298,0.07755247707243829,#women
193,0.08514512104734484,writing
41,0.10755814024906751,theory
238,0.11118630552662534,lol
384,0.11729950327189886,something
182,0.13269088669900597,i'm
484,0.1434108536654235,supporting
503,0.17411727120714726,over
685,0.18206996393789376,american
472,0.21511628049813503,hear
197,0.22465946992406316,this
153,0.22758745492236754,full
492,0.24305602920336922,anymore
313,0.26550901675153327,everyone
767,0.2742353948524485,victim
788,0.29490297825803147,least
357,0.3023484023385503,words
477,0.31862243689131464,hope
411,0.34640129225627625,young
420,0.34870625696937196,?
64,0.3519514720582757,yeah
526,0.380681746531053,r
316,0.3876828533140184,even
790,0.39021413654937565,victims
65,0.3974182646233526,there's
748,0.4118341016319236,religion
579,0.4150590636684086,wanna
769,0.4469866839505574,news
264,0.4469866839505574,completely
469,0.4538538198205293,b
757,0.5068523106417615,see
144,0.5389766379090757,pay
148,0.5389766379090757,problems
381,0.5392425589454772,looking
624,0.5436237923531628,cause
662,0.5456106048907658,porn
416,0.585291547092945,(
160,0.5873786849768923,fighting
53,0.6066179535400025,discussion
782,0.6187751703114852,ever
742,0.6385524056437051,sad
265,0.6774083363360184,here's
27,0.696283915180608,my
226,0.7168387328855106,thanks
124,0.742103218650163,reason
414,0.7618587012539981,used
35,0.7931801580787008,kind
577,0.8847186027650844,big
785,0.9533064537358946,between
258,0.9845505626077511,already
759,1.0393799475469887,self
491,1.0587748728010107,research
180,1.283182312043822,boys
679,1.3442486634305535,views
465,1.3728876721339667,which
322,1.385661704286127,please
532,1.4484040520548227,)
300,1.456269385383104,piece
542,1.522622890658564,difference
396,1.5573580904010047,follow
132,1.5573580904010047,realize
131,1.5875105640222351,speech
417,1.6191066535973455,know
219,1.6407855093190982,women's
523,1.7517545954733649,never
642,1.772776873149276,until
122,1.8378002168776337,power
651,1.8765594689356817,ladies
162,1.8773605036490206,hating
510,1.8787280135984865,thats
31,1.8844656753038809,comes
304,1.9741157072957343,makes
232,1.9864294419966022,best
352,2.0787598950939774,again
580,2.0928493094613465,article
397,2.102118930460339,honestly
21,2.111648410489508,shut
195,2.117084605512769,#equality
186,2.128393717098376,bitch
254,2.314897007463504,getting
691,2.337427183154503,blog
405,2.341285990200081,called
237,2.354796444624718,looks
762,2.3801576386270558,another
450,2.4437789479568863,else
680,2.4437789479568863,speak
387,2.4800825919371494,violence
339,2.5764766049085033,around
108,2.6499743000778047,two
317,2.8710565521007982,opinion
24,2.8872801547256515,making
145,3.0332581346380394,-
592,3.066853797999098,lot
494,3.1417132409233997,ignorant
337,3.273663629344579,thing
778,3.288495945252592,same
588,3.3946279060174263,every
428,3.4182994744296984,nothing
713,3.4219594300294602,either
129,3.4219594300294602,matter
115,3.5200960367446115,face
270,3.598725990142043,do
423,3.6202129210299283,read
596,3.6656684219353313,respect
119,3.6883996394132783,we're
228,3.8580064190198,amazing
440,4.229071664122133,etc
189,4.3128728650840955,funny
349,4.38461013180717,may
675,4.41096297366321,online
188,4.468989426540386,black
209,4.507268587466466,ok
90,4.554761895846131,world
161,4.674854366309006,#yesallwomen
105,4.7694279170386835,first
771,4.905562548412259,many
286,4.996274010778892,him
229,5.4170514079221945,understand
277,5.686851526786949,gay
175,5.805559945670387,friends
496,5.959773093950361,still
455,5.972179263140413,2015
427,6.1403291179198884,exactly
712,6.175751156983575,ask
608,6.175751156983575,what's
369,6.309986262908879,won't
502,6.3234674958334764,fight
250,6.50898493715335,class
212,6.519994269563295,such
425,6.638499043933798,|
183,6.819862325602486,5
439,6.8277767652289185,human
66,7.124731199836329,w
260,7.418941720079857,2
109,7.493668231709169,problem
575,7.583328371766555,sorry
738,7.583328371766555,sexes
606,7.730773841704689,happy
5,7.905104341676527,seen
342,7.920386384762658,n
647,8.619373401266646,done
595,8.794865524343798,before
236,8.823123940008749,gender
89,9.193169421476796,for
600,9.373754384083597,so
344,9.421557476867285,much
361,9.501044839816103,can't
30,10.335227180495817,patriarchy
8,10.515676215437423,media
683,10.95193869423381,someone
379,11.155519008711366,why
99,11.204646511040572,trans
699,11.666982499682355,yourself
279,11.858633710236177,check
508,12.126743927503895,and
443,12.418984457620535,body
444,12.552568598967817,school
126,12.811853672193017,way
159,13.058402136732703,actually
446,13.703646286649054,#heforshe
786,13.837937939573997,i've
32,13.995892523023404,issue
486,14.467524071324249,#feminist
143,14.474246956202066,needs
184,14.636948510797858,does
249,15.198791523527326,great
400,15.947509823172688,equal
749,16.126918456831206,/
649,16.361363122253675,dont
473,17.159416728270635,new
671,17.764475817882392,meninism
261,19.039343097121673,show
285,19.087115983524953,you're
95,19.384893628791943,work
490,19.39047036455979,definition
597,19.508531079729202,keep
346,20.397343261176108,doing
745,20.397468592279566,say
12,21.995279662993347,im
190,22.256714355347242,us
578,22.544319301041206,come
59,22.70436918155309,girls
499,23.18052979352857,mean
358,23.33143976312013,u2019s
133,24.05643464922916,movement
138,24.24088443176015,time
79,24.44624789268711,good
725,26.33908881606122,against
246,26.507611267986192,really
216,27.346994023175682,doesn't
554,27.45279519667868,very
432,27.599058116949177,u2026
445,28.057481235463086,rights
82,28.31445714400396,going
120,29.345309402940046,that
351,29.852147690278628,because
214,31.083894160338993,feel
668,32.94788551907945,being
112,36.45951389580797,talking
343,39.34488179865821,social
756,39.3895526000008,love
17,40.776454215934066,there
276,40.82777234922169,joke
333,40.92781115209916,+
586,41.622050123743904,no
341,41.834654939089916,tell
334,43.19115412060745,male
192,44.01843116818877,been
336,45.59365349909882,think
284,46.483980469856945,support
19,47.448542970947926,not
33,48.27310143552316,its
63,49.50728560476526,u
121,50.78456524051373,than
794,53.3039194442361,women
26,55.69263884637661,me
96,58.61608774687194,word
211,59.21069978090782,of
85,60.96087784008964,just
176,65.02950692620286,believe
262,67.76654735170506,isn't
821,71.60542254110001,have
57,72.55015775724083,female
42,93.03308734347468,people
364,97.40798988529917,our
536,101.1710207449358,has
573,115.07512947767827,to
616,117.38881183001038,&
371,117.56665788172154,""""
485,125.91555708700616,#feminism
147,146.26752712793063,don't
306,157.58275227380295,more
52,159.32488716433545,the
709,173.43790397654982,like
136,174.31364950404253,it's
11,218.973070580009,in
139,226.316510193613,what
106,226.35502585602762,you
135,228.16870971842187,we
483,237.7586403905657,'
706,270.1063020354728,your
84,357.3513090474443,about
55,414.04621986084925,need
291,581.1742988249692,!
14,631.5525014525874,is
201,1871.4735553622515,feminism
